id,ML,street_name,street_number,zone,block,total_rooms,bedrooms,first_floor_area,land_area,living_area,neighborhood,num_stories,FAR,LADU,OPEN,lot,lat
10425,104-150,Upton St,21,C,642,12,6,890,1585,2670,Cambridgeport,3.0,1.68,528.33,43.85,-71.1087802004,42.3630944102
5675,104-151,Pleasant St,54,C,642,16,6,1296,3513,3456,Cambridgeport,3.0,0.98,1171.0,63.11,-71.1089254391,42.3633161326
8197,104-152,Fairmont St,19,C,682,8,4,870,1887,1740,Cambridgeport,2.0,0.92,1887.0,53.9,-71.1101971861,42.3614028395
10366,104-153,Fairmont St,19-A,C,682,8,4,783,1857,1566,Cambridgeport,2.0,0.84,928.5,57.84,-71.1099806178,42.3615351777
3462,104-154,Pleasant St,72-A,C,670,15,7,1187,3077,3553,Cambridgeport,0.0,1.15,1025.67,61.42,-71.1098098629,42.3624664824
8178,104-155,Magazine St,45,C,642,12,6,2713,4995,2713,Cambridgeport,0.0,0.54,1665.0,45.69,-71.1072485193,42.3627683834
4390,104-16,Fairmont St,23-R,C,682,13,5,2917,5072,2917,Cambridgeport,0.0,0.58,2536.0,42.49,-71.1101414984,42.361564318
5589,104-18,Chalk St,35,C,670,None,None,2378,3628,3546,Cambridgeport,2.25,0.98,907.0,34.45,-71.1100867994,42.3621796096
1814,104-19,Pleasant St,78,C,670,None,None,2501,5719,5047,Cambridgeport,2.0,0.88,1429.75,56.27,-71.1100155774,42.3623691676
2548,104-2,Pleasant St,90,C,682,None,None,1745,4391,5840,Cambridgeport,2.75,1.33,878.2,60.26,-71.1105953892,42.3618841902
8400,104-20,Kelly Rd,36,C,670,9,4,1064,2316,2128,Cambridgeport,2.0,0.92,1158.0,54.06,-71.1096758514,42.3626017631
