id,block,far_mean,far_median,far_stddev,ladu_mean,ladu_median,ladu_stddev,os_mean,os_median,os_stddev
134,711,0.79,0.72,0.4,2492.92,1931.0,2083.97,65.89,69.81,17.16
135,719,0.63,0.58,0.2,2335.42,2574.59,937.98,67.31,70.23,20.76
136,741,0.76,0.7,0.23,1847.96,1862.5,522.78,58.67,66.42,20.98
137,697,0.85,0.77,0.43,2236.64,2085.59,1380.25,57.91,62.55,19.07
138,704,0.85,0.66,0.46,1915.62,1925.0,1237.57,61.21,65.75,17.77
140,724,0.78,0.81,0.11,1221.04,1180.5,86.86,73.96,73.47,3.62
141,717,0.99,0.9,0.49,2818.1,1336.0,3988.1,68.51,70.78,17.6
142,727,0.89,0.79,0.37,1794.5,1866.33,961.06,55.58,59.05,20.79
143,627,1.73,1.5,0.36,889.28,818.0,428.46,43.48,50.42,10.77
144,633,0.94,0.76,0.41,1330.71,1009.0,871.91,62.89,68.16,18.42
145,638,0.92,0.67,0.69,2677.25,2244.75,2036.91,62.58,64.45,14.17
146,642,0.9,0.85,0.34,3362.07,1950.0,7212.56,56.5,63.11,18.27
147,659,0.7,0.58,0.38,2396.07,2286.5,1457.11,64.38,71.92,22.0
148,671,0.85,0.75,0.33,2184.79,1322.5,2526.15,59.26,66.8,23.79
149,679,0.92,0.87,0.27,1470.01,1359.0,696.49,55.39,52.09,13.21
150,713,0.89,0.74,0.46,1930.01,1754.33,1214.23,61.77,67.04,19.42
151,745,0.7,0.66,0.25,2143.17,1984.0,833.73,69.53,74.02,13.88
153,740,0.38,0.38,0.0,221276.0,221276.0,0.0,62.03,62.03,0.0
162,663,0.81,0.64,0.55,2325.4,2231.88,1378.06,61.1,68.41,20.09
163,648,0.96,0.75,0.49,1589.36,1472.0,878.09,59.55,67.13,18.27
167,640,0.98,0.92,0.37,1371.83,1019.5,659.46,63.7,62.6,16.37
172,654,0.97,0.72,0.65,2375.13,1170.0,2787.74,55.99,57.15,14.62
173,664,0.86,0.89,0.29,1691.73,1404.75,901.46,59.33,57.12,12.64
174,676,0.82,0.74,0.32,2201.73,1611.5,1581.94,58.71,65.44,18.09
175,684,0.82,0.77,0.33,1668.03,1273.25,1024.16,62.05,60.02,18.9
176,691,0.7,0.71,0.29,2232.87,2112.25,963.51,65.76,70.73,16.82
177,686,0.99,1.03,0.21,1324.68,1285.0,526.15,62.16,62.65,9.17
178,682,0.74,0.72,0.28,2124.65,1823.0,1193.95,63.48,65.81,12.28
179,731,0.69,0.74,0.23,2564.78,2170.33,1420.14,67.98,71.93,14.33
180,733,0.67,0.65,0.18,2459.0,2237.5,1347.46,67.63,70.89,17.82
182,735,0.88,0.88,0.4,1693.49,1230.0,1130.09,66.49,73.07,18.43
183,748,1.68,1.68,0.0,601.31,601.31,0.0,26.19,26.19,0.0
184,656,0.97,0.85,0.29,1495.44,1637.0,576.45,58.62,59.11,11.33
185,683,0.83,0.85,0.36,1794.49,1629.0,791.12,56.86,61.44,18.71
186,715,0.81,0.81,0.2,1790.73,1363.0,1013.28,63.91,66.38,13.15
187,722,0.65,0.66,0.18,2584.69,2373.0,1014.32,70.09,70.59,6.76
188,726,0.82,0.82,0.26,2508.86,1571.5,2226.21,68.0,71.59,11.65
189,730,0.87,0.9,0.22,1586.48,1514.41,591.26,61.72,69.98,20.13
190,736,0.72,0.7,0.19,2366.1,2443.0,1103.31,71.02,72.74,9.72
191,732,1.26,1.26,0.23,989.68,986.33,242.24,50.78,52.21,17.18
192,744,1.06,0.91,0.45,1336.64,645.0,894.63,64.02,70.74,18.16
193,670,0.86,0.88,0.31,1894.88,2229.0,761.23,59.53,61.9,14.24
195,657,0.78,0.82,0.13,1648.56,1450.0,420.6,50.52,53.36,18.54
196,709,0.94,0.92,0.19,1330.42,1382.5,311.92,55.64,56.82,6.1
197,712,0.78,0.78,0.19,1896.5,1756.5,600.13,68.53,69.2,10.81
228,405,0.92,1.02,0.24,4225.6,4254.0,2217.07,58.83,63.08,13.79
229,424,1.33,1.29,0.27,3366.44,4359.0,1514.61,73.84,63.03,17.19
